datapack,rc_service,rc_source,rc_from_name,label_disagreement,finished,p90_rank,p90_n_services,p90_rc_in_traces,mean_rank,mean_n_services,mean_rc_in_traces
ts5-ts-order-service-stress-svfvxk,ts-order-service,ground_truth.service,ts-order-service,False,True,1.0,29,True,1.0,29,True
ts2-ts-consign-service-stress-b7twdg,ts-consign-service,ground_truth.service,ts-consign-service,False,True,1.0,29,True,2.0,29,True
ts1-ts-inside-payment-service-stress-lp6wwg,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service,False,True,2.0,30,True,1.0,30,True
ts5-ts-inside-payment-service-stress-dslxhv,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service,False,True,1.0,30,True,2.0,30,True
ts5-ts-route-plan-service-response-abort-vw2dh4,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,27.0,30,True,27.0,30,True
ts3-ts-travel2-service-request-replace-path-cn6j54,ts-travel2-service,ground_truth.service,ts-travel2-service-request-replace,True,True,28.0,29,True,28.0,29,True
ts2-ts-route-plan-service-response-abort-6xqqsz,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,2.0,29,True,5.0,29,True
ts1-ts-food-service-response-patch-body-qjhx5h,ts-food-service,ground_truth.service,ts-food-service-response-patch,True,True,6.0,30,True,9.0,30,True
ts5-ts-basic-service-request-replace-path-f7qjfw,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,1.0,30,True,23.0,30,True
ts4-ts-route-plan-service-request-replace-path-fmj8lq,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request-replace,True,True,17.0,29,True,21.0,29,True
ts1-ts-preserve-service-request-replace-path-jhv25f,ts-preserve-service,ground_truth.service,ts-preserve-service-request-replace,True,True,26.0,26,True,26.0,26,True
ts2-ts-user-service-stress-dgfnzl,ts-user-service,ground_truth.service,ts-user-service,False,True,1.0,30,True,1.0,30,True
ts5-ts-user-service-pod-kill-ds2t2b,ts-user-service,ground_truth.service,ts-user-service-pod,True,True,1.0,30,True,1.0,30,True
ts5-ts-order-service-stress-8z9vgj,ts-order-service,ground_truth.service,ts-order-service,False,True,1.0,30,True,1.0,30,True
ts5-ts-food-service-request-replace-path-xcddv5,ts-food-service,ground_truth.service,ts-food-service-request-replace,True,True,22.0,22,True,16.0,22,True
ts2-ts-assurance-service-stress-9kc6kq,ts-assurance-service,ground_truth.service,ts-assurance-service,False,True,2.0,29,True,1.0,29,True
ts4-ts-route-plan-service-response-abort-2d8hdl,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,24.0,30,True,14.0,30,True
ts1-ts-route-plan-service-request-replace-path-fsqpld,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request-replace,True,True,26.0,26,True,26.0,26,True
ts0-ts-basic-service-request-replace-path-5888sf,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,26.0,26,True,26.0,26,True
ts5-ts-basic-service-response-abort-7f8qrl,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,6.0,29,True,13.0,29,True
ts4-ts-basic-service-request-replace-path-n9jq9s,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,1.0,26,True,6.0,26,True
ts2-ts-basic-service-request-replace-path-flkd7v,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,20.0,29,True,21.0,29,True
ts1-ts-travel-service-stress-9rhgns,ts-travel-service,ground_truth.service,ts-travel-service,False,True,10.0,30,True,9.0,30,True
ts0-ts-order-other-service-stress-4d76fr,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,2.0,29,True,7.0,29,True
ts2-ts-preserve-service-response-abort-snvbfs,ts-preserve-service,ground_truth.service,ts-preserve-service-response,True,True,27.0,28,True,27.0,28,True
ts4-ts-route-plan-service-response-abort-jgxqxv,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,29.0,30,True,23.0,30,True
ts5-ts-route-service-stress-2jqq4z,ts-route-service,ground_truth.service,ts-route-service,False,True,1.0,30,True,3.0,30,True
ts2-ts-route-service-stress-jc4rzz,ts-route-service,ground_truth.service,ts-route-service,False,True,1.0,29,True,2.0,29,True
ts3-ts-travel-service-stress-qscl29,ts-travel-service,ground_truth.service,ts-travel-service,False,True,8.0,30,True,8.0,30,True
ts5-ts-preserve-service-response-abort-xr9s77,ts-preserve-service,ground_truth.service,ts-preserve-service-response,True,True,1.0,26,True,2.0,26,True
ts4-ts-inside-payment-service-stress-v9ckcv,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service,False,True,2.0,30,True,2.0,30,True
ts0-ts-cancel-service-stress-s7tf69,ts-cancel-service,ground_truth.service,ts-cancel-service,False,True,1.0,30,True,1.0,30,True
ts5-ts-order-other-service-stress-kv9nfz,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,1.0,30,True,1.0,30,True
ts1-ts-order-service-stress-9mnw5v,ts-order-service,ground_truth.service,ts-order-service,False,True,1.0,29,True,4.0,29,True
ts4-ts-food-service-stress-g2qnt7,ts-food-service,ground_truth.service,ts-food-service,False,True,3.0,30,True,10.0,30,True
ts2-ts-order-other-service-stress-ln9mfl,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,2.0,29,True,4.0,29,True
ts5-ts-seat-service-request-replace-path-qz6dc5,ts-seat-service,ground_truth.service,ts-seat-service-request-replace,True,True,3.0,26,True,16.0,26,True
ts4-ts-travel2-service-response-abort-5svkhq,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,26.0,29,True,26.0,29,True
ts5-ts-food-service-request-replace-path-c4fd88,ts-food-service,ground_truth.service,ts-food-service-request-replace,True,True,6.0,25,True,13.0,25,True
ts4-ts-basic-service-response-abort-6wghmr,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,2.0,29,True,9.0,29,True
ts0-ts-consign-service-stress-7f878v,ts-consign-service,ground_truth.service,ts-consign-service,False,True,1.0,30,True,1.0,30,True
ts2-ts-order-other-service-stress-sv9xq6,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,1.0,30,True,3.0,30,True
ts5-ts-train-food-service-stress-2v2vmx,ts-train-food-service,ground_truth.service,ts-train-food-service,False,True,1.0,30,True,1.0,30,True
ts4-ts-station-service-stress-v7tdjd,ts-station-service,ground_truth.service,ts-station-service,False,True,1.0,29,True,1.0,29,True
ts1-ts-inside-payment-service-stress-brbql8,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service,False,True,1.0,29,True,1.0,29,True
ts4-ts-route-plan-service-response-abort-ttng9j,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,24.0,30,True,11.0,30,True
ts2-ts-preserve-service-stress-s4zzmk,ts-preserve-service,ground_truth.service,ts-preserve-service,False,True,3.0,29,True,5.0,29,True
ts4-ts-train-service-stress-rtbvzq,ts-train-service,ground_truth.service,ts-train-service,False,True,1.0,29,True,1.0,29,True
